english	manx_translations
miscarriage	anappeeaght; failleilys briwnys; ymmyrkey roish y traa
miscarried	failleillagh; neuymmyrkit; tilgit
miscellany	broish; mestey; seiyjid
misconduct	drogh aghtalys; drogh-reir; drogh-ymmyrkey
misdirection	drogh-reirey; drogh-stiurey; enmys aggairagh
miserableness	neugherjagh; neuvaynrys; treihid
misfire	jannoo skellym; lockey; skellym
misfortunate	anraahagh; anraahoil; arkyssagh
misleading	drogh-leeideil; drogh-leeideilagh; meestiuragh
mismanagement	drogh-harrooghys; drogh-reir; drogh-reirey
mistime	anhraaghaghey; jannoo ec traa aggairagh; meehowse
mistiness	druightys; froughid; kayaraght
misunderstand	far-hoiggal; goaill dy marranagh; goaill marran
mitigation	leodaghey; leshtal; lhaggaghey
mixer	mesteyder; seiyder; seiyeyder
moan	accan; cauaig; eie
moaning	cauaighey; gaccan; goocannys
mob	chionney stiagh er; co-chruinnaghey; mob beg
modernism	jeianaght; jeianys; noa-emshiraght
modernity	noa-emshiraght; noa-emshyraght; noaght
molar	bleihder; bleihderagh; feeackle cheu chooylloo
molestation	boirey; cur stiagh er; deiney
momentary	minnidagh; thootchagh; tullaghoil
momentous	frioosagh; imraagh; scanshoil
momentousness	frioosaght; imraaght; scansh
mongrel	aalagh-vestit; mestit; moddey ass dooghys
monitor	ard-ynseydagh; fer raauee; raaueyder
monitoring	cummal sooill er; goaill baght coorsagh; freayll rick er
monkhood	maynaght; maynaghys; monnaght
monumental	cooinaghtyn; feer vooar; leacoil
moodiness	groamid; teaymaght; teaymid
moorhen	eean ny loghan; kiark 'reoaie; kiark ushtey
mop	jiolane; jioleyder; jiole seose
morality	beasaght; beasid; moraltaght
moribund	gyn leihll; lhiastagh; lieh-vio
morpheme	breneen-grammeydys; morfaim; morfeme
motor-sport	spoyrt-carbyd; spoyrt-motor; spoyrt motoragh
moulded	er lheeah; oorit; roit
mouldiness	lheeahid; lheeahys; taaght
mountaineer	jannoo slieaudeyraght; jannoo slieaudeyrys; dooinney slieau
mouthing	coraaghey; gee ny meill; jannoo lane beeal jeh
muck	brockey; sollaghey; eoylley
muckiness	sollaght; trustyr; trustyraght
mucky	slobbagh; trustyragh; broigh
mucous	carbeigagh; shelloil; slummagh
mucus	carbeig; slumm; smug
muddle	broagey; brock; She made a muddle of it
muff	milley; mithan; muffey
muffle	coodaghey dy mie; follaghey; follaghtyn
mug	bonkan; He looks a bit of a mug; ommidan
mugger	muggyr; slaueyder; thoree
mugging	slauey; thoreeaght; thoreeys
multiplication	bishaghey; filltaghey; mooadaghey
munificent	feoilt; feoiltagh; giootallagh
murmurer	talleyder; thassaneagh; trughaneagh
mustiness	keoyeeaght; lheeaghys; lheeahree
mutation	arraghey; ceaghley; Initial mutation
mute	amloayrtagh; fer balloo; tost
mutter	loayrt trooid feeacklyn; tallaghey; tassane
mysterious	folliaghtagh; doillee-hoiggal; dorraghey
namby-pamby	babbanit; thootagh; thoot
nameless	gyn ennym; neuenmysit; neuennymagh
narrative	naightagh; skeeallagh; skeeal
nasal	stroaney; stroanney; The nasal cavity
nastiness	breinnid; broid; granid
naturalness	dooieid; macainys; najooraght
naught	dyn ymmyd; gyn veg; neunhee
nausea	chingys gailley; feohdys; jiooldaght
navelwort	bee ferrish; lus y daa phing; wooishlagh
navigable	yn-shiaulley; yn-stiurey; lhuingyssagh
navigator	lhuingysser; maraidagh; stiureyder
nearness	faggysaght; niessid; peajeogys
neatness	creoiys; jeshid; lhomid
negation	jannoo gyn vree; jiooldey; obbal
negroid	doo; gollrish fer doo; gorrym
nerve	asney; feh; nearag
nerveless	jee-nearagh; neufehagh; taaueagh
nervous	er craa; faitchagh; fehagagh
nesting	guirragh; She is nesting; jannoo edd
nestle	clooeys; clusaghey; clussaghey
nestling	clusaghey; clussaghey; eean idd
netted	'sy lieen; 'syn ingagh; tayrit
neuter	naeear; neaghtyr; neaghtyragh
neutral	naeear; neaghtyragh; neuchommeeagh
neutrality	naeeraght; neaghtyraght; neuchommeeaght
nibble	shuilg; shuilgaghey; shuilgey
nicked	aggagh; giarrit; goit
nightingale	beeal bing; kiaulleyder oie; lhon bane
nightshift	garrey oie; lheiney ven; shayll oie
nimbleness	lheihltys; looraght; bioyrid
nipping	goaill minniag; mingey; spulgey
nipple	keeagh; kione ny kee; mamm
nipplewort	bossan Vreeshey; duillag vie; duillag Vreeshyn
nippy	bioyr; fanntagh; mingagh
nonentity	anvioys; fer gyn scansh; neunhee
non-intervention	neueddyrghoaill; neuharmestey; neupharteeaght
non-payment	faagail gyn eeck; neueeck; neuyeeilley
non-performance	faagail gyn jannoo; neuchloie; neuyannoo
nonsensical	meecheeayllagh; ommidjagh; sou-cheeayllagh
non-unionist	neu-unnaneysagh; neucheirdchummynagh; poblaghteyr
noodle	noodyl; bollag; ommidan
noose	cribbag; cur cribbag er; sniemmey
northing	goll gour y twoaie; goll lesh y twoaie; twoaie-linney
nosey	fysseragh; peeikearagh; scrialtagh
nostril	stroan; stroin; towl stroaney
notch	agg; aggad; croa
notification	fogrey; fys; raaue
notion	conrieught; smooinaght; teaym
notional	sheiltynagh; smooinaghtagh; teaymagh
novice	lieh-oayllagh; noanee; novishagh
nude	lhome; rooisht; roosteen
nudge	brod; cur uillin da; uillin
nullify	cur er neunhee; cur gys veg; neunhaghey
nullity	neughooinney; neunheeaghey; neuvree
numbing	jannoo magganeagh; kyrloghee; magganeagh
nutcase	fer y veggan cheeaylley; lhag-hushtagh; ommidan
oafishness	awaneaght; thootid; thootys
obduracy	creoighid; creoighys; kione-lajerys
obeseness	keishid; reurid; roauyrid
objectionable	graney; meehaitnyssagh; plaiyntagh
objective	cassagh; dean; er cheu mooie
obligated	fo lhiastynys; fo-chiangley; fo-churrym
obligatory	boandagh; eginagh; eignagh
obliging	coar; keainal; kenjal
oblique	cleaynt; lieh-scoadey; stramlagh
obliqueness	cammid; scoidey; stramlaght
obscurity	doorey; dorraghys; ooignys
observant	baghtagh; tastagh; currit da cooilleeiney
obsolescent	goll ass cliaghtey; goll ass oash; goll ass ymmyd
obstinacy	kione-lajerid; kione-lajerys; roon
obviousness	baghtallys; cronnalid; cronnalys
occult	druaightagh; follaghey; kyaghtey
occultism	druaiaghtys; obbeeys; roonid
OECD	RCTL; Reagheydys ry hoi Co-obbraghey Tarmaynys as Lhiasaghey; Reagheydys ry-hoi Co-obbraghey as Lhiasaghey Tarmaynagh
oestrum	agheree; bockeeys; boggeeys
strauenyn	Will they have a glass of wine?; jeh; voish
offensive	breinn; comyssagh; loghtanagh
offertory	oural; ourallaght; ourallagh
offhand	gyn aarlaghey; neu-ullee; neuchooishagh
officiousness	perkinaght; perkinys; gullanys
offset	ashchlou; buinnag; jalloo-phrental
oftenest	by venkey; smenkey; smennickey
oilstone	clagh ooill; clagh shleeuee; cur foyr er
oldish	eashagh; eashit; red beg shenn
omen	faih; monney; Evil omen
ominous	baggyrtagh; drogh-aaishnagh; drogh-vonneydagh
omission	jarroodys; meerioose; shlee
omniscience	ooilley-fysseraght; ooilley-toiggaltys; ooilley-toiggalys
omniscient	ooilley-creenagh; ooilley-fysseragh; ooilley-toiggalagh
one-sided	lieh-cheuagh; lieh-chioneagh; meechiart
onset	cheet toshiaght; soiagh-er; toshiaght
ooze	bolgys; sheeley; sheeley magh
oozy	boglagh; lappagh; slappagh
openhearted	seyr-chreeagh; ynrick; creeoil
opera	cloie-kiaullee; kiaulldramey; Comic opera
operational	aarloo; obbraidagh; ullee
operator	caillin chellvane; guilley chellvane; obbraidee
opium	cadleen; fraue cadlee; fraue cadleen
opportuneness	caaoilid; emshiroilaght; traaoilid
optic	reayrtoil; shilleydagh; sooillag
optimism	gioal-aignaght; jerkallys; lane-yerkallys
optimist	jerkallagh; jerkeyder; lane-yerkallagh
optimistic	jerkallagh; lane-yerkallagh; sullyraignagh
oratory	agglish; keeill; oraaidaght
orchards	orchardyn; I made me gardens and orchards(; Bible
organ-grinder	cloieder organe; organeyder; organeyr straiddey
organism	bioag; organe; organane
orthodox	cair-chredjuagh; follan; kiart
orthopaedy	lhiannoo-lheeys; orthopeedee; ushylagh-oaylleeaght
ossuary	shamyr chraueyn; thie craue; thie craueyn
outcry	gerrym; shillaa; yllagh as eam
outgoing	faagail; goll ass oik; goll magh
outhouse	boalane; bwaane; thie mooie
outlet	beeal; cass; kessagh
outrageous	drogh-ghellal; ro-ghaaney; meereiltagh
outright	ass yn eddin; er ard; jeeragh
outstanding	ard-yindyssagh; gyn eeck; mooie
ovary	sheelane oohrey; oohrey; sheelane
overbalance	coayl y cormid; lhieggey; tuittym
overburden	cur rour er; eaghtyr; ooir
overdo	broie; fuinn; jannoo rour jeh
overdone	broieit; fuinnit; jeant rour
overdue	anmagh; harrish yn traa; moal
overhead	'sy speyr; erskyn; heose
overload	laadey rour; rolaad; rolaadey
overloading	laadey rour; lughtaghey rour; rolaadey
overrun	craghey; lhieent; lome lane
overstress	faregin; fareignaghey; lhie ro vooar er
overweight	riurid; ro-hrome; roauyr
paces	kesmadyn; when they that bare the ark of the Lord had gone six pacesA; adsyn va gymmyrkey arg y Chiarn, er n
pacifier	kiuneyder; meeineyder; sheealtagh
pacing	keimragh; kesmadey; mynneragh
packhorse	cabbyl cleaney; cabbyl laadee; cabbyl paggey
pad	bayr; doarn; kiap
padlock	cur glass essynagh er; glass croghee; glass essynagh
painfulness	gaeraght; gewaght; gonnys
painstaker	currymagh; frioosagh; trioragh
painter	daahder; peinteyr; slaader
pairing	lannoonaghey; piyral; piyrey
pale-faced	glass neealagh; glass vane; treih
palings	radlin; radling; sonnagh
pall	brat; coodagh carbyd; marre vaaish
palmistry	faaishnys laue; laue-ghruaiaght; laue-ghrualtys
palpitation	brebaney cree; builley mysh y chree; pandoogh
pang	eie; guin; Pang of hunger - Guin accrys.
panic	cur sevreain er; sevreainey; sevreain
pap	didee; keeagh; sheeiney
papacy	paabaght; papanaght; papanys
par	corrym; corrymid; olt
parachute	parashuit; scaa tuittym; parashuital
parade	cur er paraid; paraidal; taishbyney
paragon	ard-hampleyr; reih-ghooinney; sampleyr
paragraph	meer chabdillagh; rheynn cabdillagh; paragraaf
paramount	ard-chummaghtagh; ard-niartal; ard-scanshoil
parapet	obbyr ught; ughtvoalley; cassan-choshee
parchment	crackan screeuee; pabyr craitnagh; crackan
parental	ayrey as mayrey; ayroil; sluightoil
parget	garroo-phlaastrail; garroo-phlaastyr; plaastrail boalley
paring	kinneig; kynneen; scryss
parotid	faggys da'n chleaysh; paroteed; parotoidagh
parricide	ayrvarroo; dunver ayrey; dunverys ayrey
parsimonious	freayllagh; frioosagh; gortagh
parsimony	cribbidjys; peajeogys; pitteogys
parsonage	thie agglish; thie yn taggyrt; thie yn phesson
particularity	mynchooishaght; unnaneaght; ynricanys
passer-by	sleih er yn raad; sleih goll shaghey; troailtagh
passive	fuillaghtagh; surransagh; taaue
passiveness	beasid; fuillaghtaght; surransaght
pastureland	thalloo fassee; thalloo glass; troddan
pasty	glass; neealloo; pastee
patcher	clampeyder; clooideyder; preabanee
patchiness	brigginid; clampeydys; neuchormid
patchy	clooidit; neuchorrym; peeshagh
patent	foshlit; paiteen; paiteenagh
patron	ard-charrey; custameyr; jeih-aignagh
patronize	jannoo guilley jeh; jannoo patroonys; kionnaghey ayn
paunch	bolg mooar; gailley; gailley mooar
pave	pavail; peamadey; pemmal
peacemaker	sheeader; sheealtagh; sheeder
peaked	beinntagh; eairkagh; skeairagh
peaks	binn; beinnyn; Cloud topped peaks
pear	peear; Give me an apple and a pear; peeyr
pebble	breckey er lhiare; breckey lhiare; clagh scailley
pedal	cassagh; coshal; obbraghey ny coshallyn
pedigree	caardys; caardyssagh; fuilleeagh
pedlary	cadjerys; myn-chooid; mynghellal
peeled	fannit; scryssit; speeinit
peeping	keekagh; keekal; keekey
peerage	chiarnyn; chiarnys; ooashlid
peevishness	gonnid; granganaght; granganid
pellet	cramman; grine; milleen
pelt	ceau er; crackan; sheh
pending	derrey; fieaunagh; ry-heet
penetrating	dowin; geyre; towallagh
penetration	baght; geyrid inchyn; tastid
peninsula	kione cheerey; lieh-ellan; lieh-innys
pension	argid-pohlldal; argid bea; toyrtys vleeaney
perceivable	baghtagh; fakinagh; leayr
perennial	car ny bleeaney; sheer-; yl-vleinoil
perfidiousness	foalsaght; foalsid; kialg
perforation	doral; thiolley; towl
performer	cloieder; jantagh; jeantagh
perfunctory	neuarreydagh; neuchooishagh; tappee
periodic	cheayrtyn; earishagh; keayrtagh
periods	blaaghyn urree; coorsyn; peeriodyn
perishable	cherraghtagh; fioghagh; shymlagh
perishableness	cherraghtaght; fioghaght; shymlaght
periwinkle	blaa ny feoghaig; feoghaig; fughage
permissive	kieddagh; lhiggee; neusmaghtagh
permissiveness	lhiggalys; lowallys; neusmaght
perpetually	sheer-; I am perpetually hearing this - Ta mee sheer chlashtyn shoh.; dy kinjagh
persecutor	geyre-eeiyrtagh; sheer-voireyder; tranlaasagh
persistency	kinjid; kione-lajerid; kione-lajerys
pertness	assagys; brynnaghys; brynnid
perusal	aalhaih; lhaihderys; mynscrutaghey
peruse	aalhaih; lhaih dy currymagh; mynscrutaghey
pestilential	breinn; crampagh; paittagh
petrify	agglaghey yn annym ass; claghaghey; jannoo clagh jeh
phase	keim; paase; caghlaa ny heayst
philanthropist	graihder sheelnaue; mialagh; miallagh
phosphorescence	lossan; lossan mea; luddan mea
pictorial	bio; caslyssagh; jallooagh
piecemeal	ayns peeshyn; beggan er veggan; dy peeshyn
pierhead	kione keay; kione y cheay; kione y cheiy
piggish	mucagh; mucoil; sallagh
pigtail	famman muickey; famman mwashag; tombaacey cast
pike	beinn; gaddys; shleiy
pillage	cragh; craghey; craght
pillory	cur er y stang; stangey; stang
pilotage	faill yn stiureyder; keesh stiuree; tushtey yn stiureyder
pimple	gurrin; plucan; pushag
pincers	chionnchuryn; corragyn; ordaagyn
pinchbeck	airh vreagagh; breagagh; foalsey
pinion	fedjag; giarrey ny fedjagyn jeh; kiangley laueyn
pink	bane-yiarg; jiarg-bane; blaa ruishagh
pioneer	fer toshee; kioneraadagh; jannoo hoshiaght
pip	geeg; rollage; sheel
piqued	cammanagh; sneeuit; sneihagh
piracy	lhong spooilley; mooirchragh; mooirchraght
pistol	gunn laue; pistol; pistal
pitchfork	ceau lesh gollage; gollage; gollage chiaullee
pitted	spoghttagh; spohttit; thiollit
pivot	cassey er pinney; cur er pinney; pinney
placard	cur fogrey er; cur posteyr er; fogrey
placid	kiunid; oayllaashagh; soccaragh
placidity	kiunid; oayllaashaght; soccarys
plank	boayrd; claair; deal
planter	correyder; plandailee; soieder
plastered	plaastrit; slaait; scooyrit
plasticity	plastaght; so-lhoobaght; soyallooaght
playfulness	gammanys; reaid; spoyrtoilid
plaything	dee; didee; gaih
pleat	cur pleat ayn; pleatal; pleat
plebeian	fer jeh'n theay; pleabagh; theayagh
pledging	cur myr raane; gialtaghey; gioaldaghey
plenitude	laanid; lhieenaraght; palchid
pliable	lhoobagh; so-lhoobagh; beasagh
plotter	co-chialgeyr; kialgeyr; oayllee caslys cheerey
plug	dhull; plug; stoppane
plume	cur dossan fedjag er; dossan fedjag; fedjag
plunderer	cragheyder; lhomeyder; rueg
plundering	gruiaghey; jannoo cragh; jannoo craght
plus	cowrey moojey; moojey; Four plus one
plutocrat	argid-reiltagh; fer berchagh; plutacraat
ply	filley; jannoo turrys; obbraghey
poach	lieh-vroie; poatchal; scoaldey
poaching	gaddeeys; lieh-vroie; poatchal
pockmarked	garroo; lane ynnydyn y vreck; spohttagh
pock-marked	garroo; lane ynnydyn y vreck; spohttagh
pod	fynneig; lhiannag; bleayst
poignant	geyre; garg; gort
point-blank	dy bollagh; fo beeal gunn; jeeragh
pointedness	barbaght; birrid; geyrid
pointer	leeid; maidjey; snaid
poisoned	nieuit; pyshoonit; They are all poisoned
polar	ardoil; poullagh; poulleyr
poles	sthewir; poullyn; cruin
pommel	boogh; kione jeelt; ooyl
pontifical	ard-saggyrtagh; lioar ny haspickagh; paabagh
poplar	billey pobbyl; pobbyl; poplar
popping	frappagh; frapperagh; frapperaght
populace	pobbyl; sleih; theay
popularity	ennoilid; ennoilys; foayr cadjin
popularize	cadjinaghey; cur enney yn phobbyl er; skeayll mastey'n phobbyl
portal	dorrys; giat; giat-entreilys
portliness	reurid; staydoilid; staydoilys
portraiture	cochaslys; cochaslysaght; coontey
pose	cur ny hassoo; lhiggey; lhiggey er
postman	dooinney post; fer post; fer y phost
postponed	currit jeh; lhiggit shaghey; shlearit
postponement	cur jeh; shaghney; shlearaghey
pothole	coirrey; pot; towl
pottery	pasheydys; siyn craie; thie pasheydys
pounded	broojit; bwoailt; mynvroojit
pounding	broo; bwoailtagh; tratnagh
pout	cur puiss er; jannoo meill; puiss
powerfulness	cummaghtys; cummeydys; lajerid
powerless	gyn cummaght; gyn pooar; neuchummaghtagh
practicable	cooilleeintagh; jannooagh; so-yannoo
prancing	joltagh; lheimyraght; corlheimyraght
prattler	cabbaragh; cabberagh; hengleyr
precipitate	co-ghlooaghey; kiontoyrtagh; kiontoyrtaghey
precipitation	co-ghlooaghey; fliaghey; frassaghey
precocious	appee roish yn traa; mogh-appee; shenn-creeney
precociousness	jeean-appeeys; mogh-appeeys; shenn-chreenaght
predicament	creoiys; cront; hobbyl
predicant	preacheilagh; preachoor; shirveishagh
predict	faaishnaghey; insh rolaue; roie-insh
predominate	geddyn yn varriaght er; s'earrooagh; The Gaelic words predominate(
preface	cur roie-raa rish; goan foshlee; roie-raa
prefix	cur myr roie-ockle rish; cur myr roie-raa; roie-ockle
prejudicial	farvriwnyssagh; jeeyllagh; lhiettrimagh
preliminary	roie-; toshee; toshiaght
prelude	cheet roish; roie-chloie; roie-immeeaght
premature	lhuan; lhuanagh; neuappee
premonition	fysseraght; monney; raaue
preparedness	aarlooid; ullid; ullys
presbytery	quaiyl Phesbyteyragh; shanstyr; thie saggyrt
preset	roie-hoit; soit rolaue; soiaghey rolaue
pretender	aggyrtagh; fer foalsey; fer lhigggey
prevalent	cadjinagh; goaill niart; goaill raad
prickle	broddey; jialgaghey; caulg
probe	broddag; scrutag; Lunar probe
problematic	crampagh; feyshtagh; keishtagh
problematical	crampagh; feyshtagh; keishtagh
procedure	aght; immeeaght; trior
procrastinate	feiyal; lhiggey shaghey yn traa; shlearaghey
procurator	ynnydee; fer-oik 'syn ardschoill.; KellyE
prodigality	jummalys; jummallys; jummalid
prodigy	yindys; Infant prodigy; - Paitchey yindyssagh.
producer	gienteyder; Gas producer; jantagh
production	obbragh; gientyn; sheeyney
productive	bishee; breyagh; jeeillagh
profanity	anchasherickys; seihlltaght; seihlltys
profiteer	ard-chosneyder; vondeisheyder; jannoo ard-vondeish ass
profitless	gyn cosney; gyn vondeish; neuvondeishagh
progressive	beggan er veggan; feer eiyrtagh; goll er oai dy tappee
prohibit	lhiettal veih; meelowal; obbal kied
prohibitionist	chirrym; tarmestagh; tarmestee
prolongation	lhiuraghey; liuraghey; sheeyney
prolonger	beayneyder; lhiureyder; sheeyneyder
promiscuity	comyssey taghyragh; meshtallaght; mestey
promiscuous	comyssagh; coveshtagh; meshtagh
prompt	cur ayns kione feanish; cur yn fockle 'sy veeal; greinnaghey
proneness	crommey hug; jeeanid; lhie
prong	gah; goullan; mair
pronounceable	raagh; yn-choraaghey; yn-ockley magh
prophetical	faaishnagh; fadeyragh; tuaragh
propitious	aigharagh; foayragh; foayroil
proportional	coreiragh; lieh my lieh; freggyrtagh
proposer	fer ta cur roish; moylleyder; treealeyder
prostatism	chennid ushtey; prostaitaght; prostaitys
prostration	er trogglooid; sheeyney; sleaghtaght
protract	lhiuraghey; sheeyney magh; tayrn rere scailley
protrude	cheet trooid; deamey; gobbey magh
protrusion	att; boogh; bossan
prowess	erroort; lajerid; lajerys
prowl	rouail; rouailley; shelg
prowler	rouaillagh; rouailleyder; shelgeyder
proximity	faare; gerrey; niessid
proxy	meoirys; ynnydee; shagh-teiyder
pry	peeikearagh; sheegerey; skeetal
psyche	aigney; annym; spyrryd
psychic	quaagh; quaaie; sheekagh
psychical	quaagh; quaaie; sheekagh
puck	claare sooane; fainey sooane; fainey
puffy	ass ennal; bolgagh; puissagh
pugnacious	bwoaltagh; streeuailtagh; troddanagh
pugnacity	bwoaltys; streeuailtys; troddanaght
pulverization	beihll; broojey; mynnaghey
pulverize	beihll; broojey; jannoo poodyr jeh
purblindness	doal-inchynaght; giare-reayrtys; lieh-ghellid
puritan	fer ro-chrauee; puritaanagh; ro-chrauee
purloiner	gaddee; geideyder; keilleyder
purport	keeayll; kiarail; lhieggey er
pusillanimity	lambaanid; lambaanys; lhag-spyrrydoilaght
pustule	gurran; pushag; spoht breck
putrefy	breinnaghey; loauaghey; molkey
puzzling	boiragh; keishtagh; boirey
quack	far fer lhee; quack; quackal
quadruple	bishee liorish kiare; kiare-fillagh; kiare-filley
quagmire	boglagh; curragh; curragh craaee
quaker	craader; fer craaee; quaker
qualification	cooieaght; cooieid; foaysaght
qualify	aarlaghey; cur coontey jeh; jannoo cooie
quarantine	cur fo quaranteen; quaranteen; To be in quarantine
quarreller	troddanagh; troddaneyr; troiddeyder
quarrelsome	bwoailtagh; streeuagh; troddanagh
quarrelsomeness	bwoailtaght; streeuaght; troddanaght
query	cowrey feyshtey; fenaght; fenaghtyn
queue	arbyl; famman; The back of the queue
quibble	cabbaragh; loayrt dy shaghrynagh; shaghrynys
quickness	leahys; tappeeid; tappeeys
quicksand	geinniagh vio; muc gheinnee; traie sluggee
quick-witted	bio-inchynagh; geyre-inchynagh; kioot
quieten	cur aash er; cur ny host; feaghey
quill	cuill; fedjag; jialg
quinsy	reaym; trew; gorley-plooghee
quire	kerroo-phabyr; kiare coipyn as feed; carree-chillagh
quoin	clagh chorneilagh; jeenys; jingey
rabbet	jannoo rabbat; kiangley lesh rabbat; rabbat
rabid	er rouyl; keoi; lane confey
racked	guint; voir; I racked my brains over it
radiate	gahagh; goulragh; gahghey
radiator	chiasseyder; feayreyder; goulraghteyr
raft	raftey; sleayd ushtey; snauan
raggedness	fritlagys; fritlid; giubbylaght
rainfall	fliaghee; fliaghey; fliughey
raking	cleaynt sheear; corlaigey; raakey
rakish	cleaynt; raistylagh; sheeynt
rally	aachruinnaghey; aahoiagh; aavioghey
rambling	branlaadee; rouaillagh; rouailley
rampant	lieh-ard; ooilley mygeayrt; rank
ranch	ransh; ranshey; troggal stock er ransh
rankness	breinnid; gortaght; rankid
rap	crank; far-lhieng; polt
rape	egin; egin ben; eginaghey
rareness	awid; goanid; neuchadjinys
rascally	mitchooragh; mooidjeenagh; screbbagh
rashness	raghlid; raghtalid; raghtalys
rasp	caignan; caigney; craiughan
rat-infested	croo lesh roddanyn; lane roddanyn; roddanagh
rating	keesh-thie; graadaghey; jannoo keeshyn balley
ration	co-rheynn; lowanse; lowansey
rationing	rheynn; lowansey; co-rheynn
ravage	craghey; spooilley; cragh
reactive	aawoalltaagh; frasseeagh; freggyragh
realization	cur gys argid; ennaghtyn; jannoo firrinagh
rearward	cheu chooylloo; cooyl arbyl; er-ash
reassure	aaniartaghey; aayarrooaghey; cur cree da
rebelliousness	meeviallys; neufreihys; noi-vreihys
rebound	aachlistal; aachlistey; aalheim
rebuff	cur flout da; flout; floutyragh
rebut	cur y breag er; floutey; floutyraght
recast	aahilgey; aareirey; aareir
recede	cleayney; goll ergooyl; traie
receivable	ry-gheddyn; ry-ghoaill; yn-ghoaill
recess	boayl fadanagh; cuilleig; far-uinnag
reciprocating	covuilley; covuilltagh; maylartagh
reconstitute	aachummey; aavunnaghey; aayannoo
recriminate	aachassid; jannoo cassid er; aacherraghey
recruit	listal; troggal sidooryn; noanee
rectorship	pessonaght; pessonys; reiltaght
recur	aahaghyrt; cheet gys cooinaghtyn; aahaghyr
reddishness	jiargid; ruissaght; ruyid
redirect	aa-enmyssey; cur enmys noa er; aa-enmys
redpoll	bytermyn cooyl-jiarg; lossan ruy; kione-jiarg
re-echo	aareggyrt; ceau mactullagh; gra er ash
reef	coorse; Shake out a reef; cuishlin
re-examine	aa-eyshtey; aaronsaghey; aascrutaghey
referee	briw; eddyr-chiartagh; fer reaghys
reflecting	aahoilshagh; aahoilshaghey; cohoilshagh
reform	aachroo; aachummey; lhiassaghey
refrigerator	feayreyder; rioder; riojeyder
regatta	giense marrey; gleck marrey; ratch baatyn
regenerated	aaghiennit; aaniartit; aavioghit
regulate	cur conaant-dellal nyn lhie er sleih; curmal; curmaghey
regulator	curmeyder; reilleyder; reiltane
reinflate	aahionney; aalhieeney; aavolgey
rejoin	aachiangley; freggyrt; goll erash da
rekindle	aafoaddey; aaghreeshaghey; aafoad
relapse	aaghoghan; aahuittym; aaskyrraghtyn
relay	lhiass-chreelaghey; lhiass-chreeley; possan noa
relinquish	cur harrish; cur seose; faagail
remedial	couyragh; foayssagh; saasoil
remiss	lhiastagh; lhiastey; meerioosagh
remoteness	join; fadanid; foddid
rendezvous	boayl quaaltys; thie oayll; ynnyd cruinnee
repellent	graynag; graynoil; imman ergooyl
replete	lane; saie; They are replete
repletion	lanid; saieid; saieys
repress	cur fo smaght; cur haart; streeanaghey
repressed	castit; currit fo smaght; streeanit
reprimand	cassid; cur oghsan da; oghsan
reproduce	aagymmyrkey magh; aahayrn; g'aa-ymmyrk magh
repudiate	jiooldey; shaghney; treigeil
researcher	aahirreyder; aaronseyder; ronseyder
resembling	casley rish; gollrish; lhiannanagh
resent	bee goanlyssagh rish; ve jymmoosagh rish; ve myskidagh rish
reservation	boayl er lheh; cooyl-smooinaght; freilltys
reset	aachlou; aachur-seose; aahoiaghey
resin	pick vane; rosin; soo ny juys
resource	couyr; saase; saasoil
restock	aastoyral; cur sthock noa ayn; cur sthock reesht ayn
restorative	aachrooagh; aahroggalagh; aalaanee
restriction	lhiettalys; smaght; teorey
retake	aaghlackey; aaghoaill; goaill reesht
retardation	annoonid aigney; cumrailys; gorley keeaylley
retarded	jei-cheeayllagh; lag-hastagh; streeanit
retention	freaylley; kiangley; taartys
retentive	cooinaghtagh; cooinidagh; freayllagh
reticulate	jannoo ingagh jeh; jannoo lhieen jeh; rheynn ayns moggylyn
retrace	aachroo; feddyn reesht; filley er ash
retract	tayrn er ash; yrjaghey; goll er ash
reunite	aachiangley; aachoardail; cur cooidjagh
revel	giensal; jannoo ronneeaght; giense
reverberate	aaheeaney; aawoalley; cheet er ash
review	aareayrtys; aareayrtyssey; aavriwnys
revision	aastudeyrys; aavriwnys; karraghey
revolution	caghlaa mooar; He died at least ten years before the great revolution7; irree magh
revolutionary	irreyder magh; meeammyssagh; tholk noa
ridicule	faghid; fannidys; jannoo faghid jeh
rifle	gunn laue; gunney-liauyr; raifyl
rifled	raiflit; ronsit; roosit
rift	brooighe; bruight; bruightooil
rigid	gyere; jeeragh; neulhoobagh
rigidity	geyrid; jeerys; neulhoobid
ripping	mie erskyn insh; raipagh; rassagh
riskiness	cryggilaght; cryggilid; gaueid
risky	cryggilagh; gaueagh; thallooinagh
rival	braar sooree; coghrialtagh; trughanagh
riverside	broogh awiney; oirr ny hawin; awiney
rivulet	glasheen; jeeigane; strooan
rocket	irree seose jeeragh; roggadey; roggad
rockface	carrick; eddin; sker
rockworm	jargane; jialgane; jialganeagh
romance	cooish ghraih; far-skeeal; far-skeealeraght
romantic	ashlinagh; druiaghtagh; far-skeealeragh
rook	trogh; troghan; troghan doo
roomy	feayn; reamyssagh; rooymoil
roost	farrar; To go to roost; goll dy lhie
rosary	crooin Voirrey; cruineenyn Voirrey; garey rose
rotting	loauaghey; molkagh; molkey
rotundity	blaaoilid; cruinnys; runtid
rouge	jiarg; Rouge one's cheeks; jiargaghey
rough-and-tumble	bea corragh; garroo; ruilley-builley
roughcast	garroo-hilgit; tilgey dy garroo; tilgey garroo
